Y,MON,D,H,MIN,S,CHAM,CR,CS,P
2014,11,14,19,52,1,1,0,389,-538.9069
2014,11,14,19,54,1,3,0,403,-558.302
2014,11,14,19,58,1,1,391,390,1.3853648
2014,11,14,20,0,1,3,391,400,-12.468283
2014,11,14,20,4,1,1,398,397,1.3853648
2014,11,14,20,6,1,3,398,403,-6.9268236
2014,11,14,20,10,1,1,400,400,0.0
2014,11,14,20,12,1,3,400,404,-5.541459
2014,11,14,20,16,1,1,398,398,0.0
2014,11,14,20,18,1,3,398,402,-5.541459
2014,11,14,20,22,1,1,397,397,0.0
2014,11,14,20,24,1,3,397,404,-9.697554
2014,11,14,20,28,1,1,400,400,0.0
2014,11,14,20,30,1,3,400,405,-6.9268236
2014,11,14,20,34,1,1,400,399,1.3853648
2014,11,14,20,36,1,3,400,405,-6.9268236
2014,11,14,20,40,1,1,395,395,0.0
2014,11,14,20,42,1,3,395,402,-9.697554
2014,11,14,20,46,1,1,396,399,-4.1560946
2014,11,14,20,48,1,3,396,402,-8.312189
2014,11,14,20,52,1,1,397,399,-2.7707295
2014,11,14,20,54,1,3,397,402,-6.9268236
2014,11,14,20,58,1,1,396,400,-5.541459
2014,11,14,21,0,1,3,396,402,-8.312189
2014,11,14,21,4,1,1,398,401,-4.1560946
2014,11,14,21,6,1,3,398,403,-6.9268236
2014,11,14,21,10,1,1,398,400,-2.7707295
2014,11,14,21,12,1,3,398,401,-4.1560946
2014,11,14,21,16,1,1,398,400,-2.7707295
2014,11,14,21,18,1,3,398,400,-2.7707295
2014,11,14,21,22,1,1,399,393,8.312189
2014,11,14,21,24,1,3,399,390,12.468283
2014,11,14,21,28,1,1,397,387,13.853647
2014,11,14,21,30,1,3,397,386,15.239013
2014,11,14,21,34,1,1,399,385,19.395107
2014,11,14,21,36,1,3,399,383,22.165836
2014,11,14,21,40,1,1,398,384,19.395107
2014,11,14,21,42,1,3,398,383,20.780472
2014,11,14,21,46,1,1,399,385,19.395107
2014,11,14,21,48,1,3,399,385,19.395107
2014,11,14,21,52,1,1,403,386,23.5512
2014,11,14,21,54,1,3,403,384,26.32193
2014,11,14,21,58,1,1,397,385,16.624378
2014,11,14,22,0,1,3,397,383,19.395107
2014,11,14,22,4,1,1,398,384,19.395107
2014,11,14,22,6,1,3,398,382,22.165836
2014,11,14,22,10,1,1,399,383,22.165836
2014,11,14,22,12,1,3,399,383,22.165836
2014,11,14,22,16,1,1,398,384,19.395107
2014,11,14,22,18,1,3,398,382,22.165836
2014,11,14,22,22,1,1,399,384,20.780472
2014,11,14,22,24,1,3,399,382,23.5512
2014,11,14,22,28,1,1,399,384,20.780472
2014,11,14,22,30,1,3,399,382,23.5512
2014,11,14,22,34,1,1,398,383,20.780472
2014,11,14,22,36,1,3,398,382,22.165836
2014,11,14,22,40,1,1,400,384,22.165836
2014,11,14,22,42,1,3,400,382,24.936565
